Unnamed: 0,time,province,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI
75,2018-03-17,广东,31.49582165605096,40.71731210191083,7.054700636942675,15.889006369426752,0.6263184713375797,72.20541401273886,-5.453222929936305,3.1023821656050954,293.1994140127389,79.23373248407644,99276.01782165605,23.3224076433121,113.41785987261149,一级
76,2018-03-18,广东,30.73915923566879,42.4992229299363,6.130853503184714,16.5611847133758,0.6317452229299363,73.88690445859872,-3.0122929936305733,5.332828025477707,293.91428025477705,83.63610191082802,99160.56494267516,23.3224076433121,113.41785987261149,一级
77,2018-03-19,广东,30.38542675159236,41.18101910828025,6.461222929936306,20.8507898089172,0.719108280254777,50.36459872611465,-0.3140891719745223,2.9580891719745224,293.4524458598726,87.73984713375796,98839.54359235668,23.3224076433121,113.41785987261149,一级
78,2018-03-20,广东,14.03607643312102,26.78975796178344,10.612764331210192,14.1384076433121,0.8317197452229299,62.96490445859872,-0.4228407643312102,-8.66968152866242,288.3827388535032,69.09301910828025,99177.07036942674,23.3224076433121,113.41785987261149,一级
79,2018-03-21,广东,18.34405095541401,30.49301910828025,10.695299363057323,13.418738853503184,0.6780382165605096,82.90099363057325,-2.861808917197452,-7.851248407643311,286.8023566878981,51.62843312101911,99472.30267515924,23.3224076433121,113.41785987261149,一级
80,2018-03-22,广东,29.11536305732484,45.39043312101911,9.259847133757962,21.85485350318472,0.5860764331210191,79.45780891719745,-3.5127515923566883,-2.7075414012738857,289.0319872611465,42.96947770700637,99354.73754140128,23.3224076433121,113.41785987261149,一级
81,2018-03-23,广东,40.70298089171975,72.53937579617835,9.618496815286624,28.288496815286624,0.6682675159235669,90.96138853503184,-3.781324840764331,1.2006624203821656,291.7701401273885,52.7583821656051,99426.3792866242,23.3224076433121,113.41785987261149,二级
82,2018-03-24,广东,40.28983439490446,69.68424203821655,9.03503184713376,27.14109554140127,0.6427388535031847,84.48270063694267,-4.3306751592356685,2.5710700636942674,292.48284076433123,66.04927388535032,99538.12182165604,23.3224076433121,113.41785987261149,二级
83,2018-03-25,广东,37.81132484076433,57.95900636942675,7.878165605095541,21.31509554140128,0.6214522292993631,77.12140127388535,-3.859949044585987,1.7941783439490446,292.81380891719743,73.06124840764332,99542.94616560508,23.3224076433121,113.41785987261149,二级
84,2018-03-26,广东,42.173923566878976,59.948687898089176,7.977248407643312,20.120433121019108,0.706968152866242,72.62408917197453,-1.4497452229299364,-1.3536305732484075,292.9904585987261,75.47182165605095,99506.45087898088,23.3224076433121,113.41785987261149,二级
85,2018-03-27,广东,40.29577070063694,55.785617834394905,9.517617834394905,18.2056050955414,0.7624968152866242,79.52056050955414,-1.6766751592356688,-1.599643312101911,293.50407643312104,66.12828025477707,99292.12764331212,23.3224076433121,113.41785987261149,二级
86,2018-03-28,广东,47.50648407643312,65.9895668789809,9.749452229299363,19.24301910828025,0.7807133757961784,96.67257324840764,-2.265312101910828,1.963859872611465,294.1552101910828,67.35942675159235,99089.38532484075,23.3224076433121,113.41785987261149,二级
87,2018-03-29,广东,44.54261146496815,56.55583439490446,7.989974522292994,19.388777070063696,0.7087133757961784,86.9704203821656,-2.4096815286624205,2.0758343949044584,293.7744331210191,76.17802547770701,99069.4543312102,23.3224076433121,113.41785987261149,二级
88,2018-03-30,广东,42.23391082802548,54.7800127388535,7.482547770700637,17.42764331210191,0.6818343949044586,80.52151592356688,-2.740382165605096,-0.1598598726114649,294.6463949044586,73.4472229299363,99138.81011464968,23.3224076433121,113.41785987261149,二级
